system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_05_01_144_0,15347,5773.239130434783,0.2786634,0.37835443,2022-05-01,0.1944421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8949066099293,19.227965992123355]}"
2022_05_01_147_0,15610,3200.2391304347825,0.11482155,0.11042128,2022-05-01,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.02008358569056,19.102061109206925]}"
2022_05_09_1_0,15378,2946.1521739130435,0.13326657,0.12966931,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89955719387882,19.066088285516518]}"
2022_05_09_3_0,15261,1915.5581395348838,0.07362879,0.06920476,2022-05-09,0.19521318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82373379824232,18.95816981444529]}"
2022_05_09_5_0,15250,4804.204545454545,0.20316392,0.24794047,2022-05-09,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.98127716510426,19.165013550665137]}"
2022_05_09_6_0,15409,3232.978260869565,0.14252089,0.16393442,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87262393424557,19.048101873671314]}"
2022_05_09_7_0,15393,2070.2608695652175,0.1491324,0.15409043,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91858756592991,19.066088285516518]}"
2022_05_09_9_0,15378,2946.1521739130435,0.13326657,0.12966931,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89955719387882,19.066088285516518]}"
2022_05_09_10_0,15339,3447.304347826087,0.17066519,0.13587022,2022-05-09,0.21446697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95269162594386,19.05709507959392]}"
2022_05_09_11_0,15512,2387.5,0.1296737,0.14253491,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88843860742244,19.08407469736172]}"
2022_05_09_14_0,15483,2945.282608695652,0.15953039,0.1018884,2022-05-09,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.02888157338081,19.165013550665137]}"
2022_05_09_15_0,15138,5596.478260869565,0.18361458,0.30958077,2022-05-09,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.80593047018138,19.156020344742537]}"
2022_05_09_16_0,15293,4587.391304347826,0.22643335,0.32176638,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8900455570788,19.17400675658774]}"
2022_05_09_20_0,15386,3516.2391304347825,0.15567131,0.17714491,2022-05-09,0.21146558,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.96621676656487,19.17400675658774]}"
2022_05_09_22_0,15262,2706.285714285714,0.1227234,0.16105479,2022-05-09,0.21269277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.96015695505,18.922196990754884]}"
2022_05_09_25_0,15325,2977.8260869565215,0.13430758,0.1515536,2022-05-09,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84321635582553,19.111054315129532]}"
2022_05_09_26_0,15359,3080.2608695652175,0.13718122,0.18952712,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90032297934106,19.111054315129532]}"
2022_05_09_31_0,15365,3096.086956521739,0.13255262,0.16527076,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88128743816921,19.111054315129532]}"
2022_05_09_34_0,15314,3018.586956521739,0.14953448,0.17821957,2022-05-09,0.19412652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83925577693213,19.102061109206925]}"
2022_05_09_35_0,15327,3133.217391304348,0.12771946,0.12682915,2022-05-09,0.19079243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82580687299158,19.200986374355544]}"
2022_05_09_37_0,15204,5811.717391304348,0.292173,0.39140576,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.9035469166616,19.18299996251034]}"
2022_05_09_38_0,15233,5358.347826086957,0.2564326,0.32829946,2022-05-09,0.1944421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90443113441769,19.227965992123355]}"
2022_05_09_42_0,15374,4181.152173913043,0.1719253,0.16935495,2022-05-09,0.19079243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84174812109316,19.23695919804595]}"
2022_05_09_45_0,15273,3622.9347826086955,0.11745061,0.137344,2022-05-09,0.21446697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.00422424015983,19.066088285516518]}"
2022_05_09_46_0,15309,4022.2391304347825,0.17054747,0.2242811,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88921941659312,19.129040726974736]}"
2022_05_09_47_0,15332,2044.3260869565217,0.10302381,0.11438828,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92810275195548,19.066088285516518]}"
2022_05_09_49_0,15473,3937.3478260869565,0.16906033,0.20405425,2022-05-09,0.1944421,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85437575756725,19.200986374355544]}"
2022_05_09_51_0,15382,3069.804347826087,0.13198069,0.1648745,2022-05-09,0.19881618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86066299725782,19.129040726974736]}"
2022_05_09_52_0,15232,2996.5,0.12918885,0.16874874,2022-05-09,0.19235575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.82900091613821,19.05709507959392]}"
2022_05_09_54_0,15309,4339.282608695652,0.18027698,0.2600234,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92342949427331,19.012129049980906]}"
2022_05_09_57_0,15228,4111.478260869565,0.17905855,0.2722194,2022-05-09,0.21446697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.00582209353422,19.048101873671314]}"
2022_05_09_59_0,15251,4981.5,0.22336744,0.34006265,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91391740013685,19.012129049980906]}"
2022_05_09_60_0,15382,2617.2391304347825,0.10894695,0.11685344,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88052682182776,19.066088285516518]}"
2022_05_09_63_0,15423,3346.9565217391305,0.13113558,0.1526735,2022-05-09,0.19695596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86545019738213,19.075081491439125]}"
2022_05_09_64_0,15390,4889.108695652174,0.15553746,0.16987179,2022-05-09,0.21334726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.0351488767158,19.09306790328433]}"
