system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_06_02_70_0,15051,4537.260869565217,0.23681532,0.20889196,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58997086467535,12.824803375230838]}"
2022_06_02_71_0,15099,4181.45652173913,0.16072117,0.18655434,2022-06-02,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65353690812111,13.058626729218481]}"
2022_06_02_72_0,15086,4558.826086956522,0.22961986,0.15286827,2022-06-02,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49785510879538,12.914735434456848]}"
2022_06_02_73_0,15089,4531.891304347826,0.20947947,0.20322259,2022-06-02,0.21919462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65176023128353,12.81581016930824]}"
2022_06_02_74_0,15146,4300.891304347826,0.14801379,0.19627844,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.59249928606516,13.040640317373285]}"
2022_06_02_75_0,15030,5365.434782608696,0.26138657,0.26177964,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.51161004971371,12.869769404843844]}"
2022_06_02_76_0,15136,2405.5,0.11262701,0.113330975,2022-06-02,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54678010097476,12.923728640379464]}"
2022_06_02_77_0,15047,4881.695652173913,0.20763269,0.2365117,2022-06-02,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58671677866306,13.139565582521893]}"
2022_06_02_78_0,15094,3926.0652173913045,0.1867029,0.19497655,2022-06-02,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6222648466085,13.076613141063692]}"
2022_06_02_79_0,15197,3739.021739130435,0.18891156,0.18034457,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52146827760272,13.049633523295883]}"
2022_06_02_80_0,15130,4142.826086956522,0.16793004,0.1589686,2022-06-02,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64567558451603,13.121579170676698]}"
2022_06_02_81_0,15060,3992.1521739130435,0.18840681,0.2272415,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5384105248397,12.896749022611653]}"
2022_06_02_82_0,15071,4416.152173913043,0.19069481,0.2455687,2022-06-02,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67977160545696,13.112585964754102]}"
2022_06_02_83_0,15091,4466.804347826087,0.21798173,0.24300757,2022-06-02,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4986629110892,13.094599552908889]}"
2022_06_02_84_0,15136,2899.0434782608695,0.13957901,0.15954119,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65276997695968,12.87876261076644]}"
2022_06_02_85_0,15080,5131.913043478261,0.22985251,0.31610337,2022-06-02,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45925701747554,12.968694669992468]}"
2022_06_02_86_0,15078,5033.869565217391,0.21110378,0.31441888,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67765909932068,12.869769404843844]}"
2022_06_02_87_0,15079,4144.760869565217,0.18796636,0.19305857,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68409911726323,12.860776198921245]}"
2022_06_02_88_0,15123,3972.0,0.20624787,0.29057285,2022-06-02,0.22926961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73022335181328,13.067619935141078]}"
2022_06_02_89_0,15105,3700.8478260869565,0.19508484,0.17750587,2022-06-02,0.2183544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.45537705765959,12.896749022611653]}"
2022_06_02_90_0,15117,3941.3695652173915,0.19169782,0.20569544,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5271130572554,13.067619935141078]}"
2022_06_02_91_0,15072,4471.217391304348,0.19128582,0.2096521,2022-06-02,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66276885800823,13.058626729218481]}"
2022_06_02_92_0,15076,5008.152173913043,0.21849173,0.24190332,2022-06-02,0.21867813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74223372972338,12.869769404843844]}"
2022_06_02_93_0,15167,3088.6304347826085,0.16893293,0.12852083,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58891325891133,13.058626729218481]}"
2022_06_02_94_0,15037,4717.826086956522,0.22218694,0.2339691,2022-06-02,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5654057475727,13.130572376599297]}"
2022_06_02_95_0,15065,5109.934782608696,0.24379621,0.24965917,2022-06-02,0.22586879,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.42039241504771,12.932721846302062]}"
2022_06_02_96_0,15110,3406.782608695652,0.15556261,0.16693865,2022-06-02,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.65086373102787,12.842789787076033]}"
2022_06_02_97_0,15196,3370.478260869565,0.1678431,0.1734694,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.55635545896001,13.013660699605474]}"
2022_06_02_98_0,15122,4529.239130434783,0.22898863,0.216251,2022-06-02,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.4560776398556,13.076613141063692]}"
2022_06_02_99_0,15110,2828.1521739130435,0.15700021,0.16679664,2022-06-02,0.22562082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69920065501462,12.968694669992468]}"
2022_06_02_100_0,15152,4308.347826086957,0.21422182,0.26773253,2022-06-02,0.22564048,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.58484157668887,12.986681081837665]}"
2022_06_02_101_0,15173,3364.478260869565,0.13598536,0.15790395,2022-06-02,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61533992888191,12.995674287760263]}"
2022_06_02_102_0,15118,3279.5434782608695,0.16952738,0.15257601,2022-06-02,0.21796936,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5974183080689,12.87876261076644]}"
2022_06_02_103_0,15151,3732.3260869565215,0.16999057,0.18599261,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57121761455677,13.03164711145067]}"
2022_06_02_104_0,14989,4645.108695652174,0.26264405,0.2880252,2022-06-02,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6695286810275,12.932721846302062]}"
2022_06_02_105_0,15092,3911.7391304347825,0.19086306,0.18916295,2022-06-02,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5448293926676,13.094599552908889]}"
